group number,Council Area name,Geogaphy,,CensusLabel,
1,Aberdeen City,2011 Council area,,1,
2,Aberdeenshire,2011 Council area,,2,
2,Moray,2011 Council area,,2,
3,Highland,2011 Council area,,11,
3,Eilean Siar,2011 Council area,,11,
3,Orkney Islands,2011 Council area,,11,
3,Shetland Islands,2011 Council area,,11,
4,Edinburgh,2011 Council area,,7,
5,East Lothian,2011 Council area,,6,
5,Midlothian,2011 Council area,,6,
6,West Lothian,2011 Council area,,20,
7,Fife,2011 Council area,,9,
8,Clackmannanshire,2011 Council area,,19,
8,Stirling,2011 Council area,,19,
9,Falkirk,2011 Council area,,8,
10,East Ayrshire,2011 Council area,,4,
11,North Ayrshire,2011 Council area,,13,
12,Scottish Borders,2011 Council area,,17,
12,Dumfries & Galloway,2011 Council area,,17,
12,South Ayrshire,2011 Council area,,17,
13,East Dunbartonshire,2011 Council area,,5,
13,East Renfrewshire,2011 Council area,,5,
14,Glasgow City,2011 Council area,,10,
15,South Lanarkshire,2011 Council area,,18,
16,North Lanarkshire,2011 Council area,,14,
17,Perth & Kinross,2011 Council area,,15,
17,Angus,2011 Council area,,15,
18,Dundee City,2011 Council area,,3,
19,Inverclyde,2011 Council area,,12,
19,Argyll & Bute,2011 Council area,,12,
20,Renfrewshire,2011 Council area,,16,
20,West Dunbartonshire,2011 Council area,,16,
