"name","DistanceCutoff"
"Stockport",10.6174384858119
"Manchester",20.2370946531364
"Oxford",24.9160590784337
"Cardiff",20.3061567018478
"Glasgow",20.3029554498846
"Edinburgh",22.4178500307233
"Stoke",27.1097590589794
"Reading",27.0862512145597
"Bury",27.0503492989619
"Newcastle",22.9038274007417
"Leeds",26.9230816714146
"Bristol",32.1199269587428
"Barts",24.3946422163874
"Nottingham",26.725088473047
"Sheffield",30.7088836425243
"Liverpool",31.6588941128964
"Middlesbrough",39.8840820378256
"Hounslow",21.1927069482134
"Croydon",16.4062486442516
"Birmingham",18.2732910009008
"Swansea",14.2172430520126
"Wrexham",8.99254912632643
